anime_id,Name,Genres,Other name,Score,Type
43866,Shui De Zhangfu Li De Zui Yuan,Comedy,谁的丈夫离得最远,UNKNOWN,Movie
43867,Huixiang,Romance,回想,UNKNOWN,Movie
43868,Baiyu Tang,"Action, Drama",白玉堂,UNKNOWN,TV
43871,Mogui Xinpian,"Adventure, Fantasy, Sci-Fi",魔鬼芯片,UNKNOWN,TV
43872,Tu Hongse De Luotuo,Adventure,土红色的骆驼,UNKNOWN,TV
43875,Bai Ge Dao,"Adventure, Sci-Fi",白鸽岛,UNKNOWN,TV
43877,Da Yingxiong Di Qing,Adventure,大英雄狄青,UNKNOWN,TV
43878,Miko no Tsutome!,Comedy,みこのつとめっ！,6.13,ONA
43881,Da Erduo Tutu,Comedy,大耳朵圖圖,UNKNOWN,TV
43882,Da Erduo Tutu 2nd Season,Comedy,大耳朵图图 第二季,UNKNOWN,TV
43883,Da Erduo Tutu 3rd Season,Comedy,大耳朵图图 第三季,UNKNOWN,TV
43884,Da Erduo Tutu 4th Season,Comedy,大耳朵图图 第四季,UNKNOWN,TV
43885,Da Erduo Tutu 5th Season,Comedy,大耳朵图图 第五季,UNKNOWN,TV
43887,Da Erduo Tutu: Tutu Zhihui Wangguo,Comedy,大耳朵图图之图图智慧王国,UNKNOWN,TV
43888,26 Ge Mimi,"Adventure, Mystery",26个秘密,UNKNOWN,TV
43889,Tiancai Faming Jia,"Adventure, Comedy",天才发明家,UNKNOWN,TV
43891,Zhonghua Meide,"Adventure, Fantasy",中华美德,UNKNOWN,TV
43892,Shuai Gou Hei Pi,"Adventure, Sci-Fi",帅狗黑皮,UNKNOWN,TV
43893,Shen Gong Chuanqi,Fantasy,神弓传奇,UNKNOWN,Movie
43894,Ma Lan Hua,Fantasy,马兰花,UNKNOWN,Movie
43895,Ma Lan Hua (2009),Fantasy,马兰花,UNKNOWN,Movie
43896,Xiao Zhuoma,Fantasy,小卓玛,UNKNOWN,TV
43897,Jingling Nuhai Xiao Zhuoma,Fantasy,精灵女孩小卓玛,UNKNOWN,Movie
43899,Shaonian Yue Fei Chuanqi,"Adventure, Fantasy",少年岳飞传奇,UNKNOWN,Movie
43903,Niu Yuan,"Drama, Fantasy",牛冤,UNKNOWN,Movie
43904,Fang Lian Yeye He Yuan Lian Nainai,Drama,方脸爷爷圆脸奶奶,UNKNOWN,Movie
43908,Huli Fen Bing,Fantasy,狐狸分饼,UNKNOWN,Movie
43909,Shei Pa Shei,Suspense,谁怕谁,UNKNOWN,Movie
43920,Datou Er Zi He Xiao Tou Baba,Slice of Life,大头儿子和小头爸爸,UNKNOWN,TV
43922,Xin Datou Er Zi He Xiao Tou Baba,Slice of Life,新大头儿子和小头爸爸 第一季,UNKNOWN,TV
43923,Xin Datou Er Zi He Xiao Tou Baba 2nd Season,Slice of Life,新大头儿子和小头爸爸 第二季,UNKNOWN,TV
